,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,1.0000,1.0000,0.9922,"{'max_features': 1, 'max_depth': 17}",0.9980,0.9935,0.9844
1,S10,0.9961,1.0000,1.0000,"{'max_features': 3, 'max_depth': 47}",0.9961,0.9935,0.9922
2,S11,0.9922,0.9805,0.9961,"{'max_features': 2, 'max_depth': 34}",0.9961,0.9870,1.0000
3,S12,0.9785,0.9805,0.9961,"{'max_features': 6, 'max_depth': 32}",0.9785,0.9805,0.9961
4,S13,0.9667,0.9610,0.9961,"{'max_features': 1, 'max_depth': 18}",0.9687,0.9675,0.9844
5,S14,0.9707,0.9740,0.9844,"{'max_features': 2, 'max_depth': 36}",0.9688,0.9740,0.9766
6,S15,0.9726,0.9740,0.9883,"{'max_features': 6, 'max_depth': 21}",0.9726,0.9740,0.9805
7,S16,0.9980,1.0000,1.0000,"{'max_features': 3, 'max_depth': 50}",0.9980,1.0000,1.0000
8,S17,0.9961,1.0000,1.0000,"{'max_features': 3, 'max_depth': 27}",0.9980,1.0000,1.0000
9,S18,1.0000,1.0000,1.0000,"{'max_features': 6, 'max_depth': 18}",0.9980,1.0000,1.0000
10,S19,0.9238,0.9221,0.9062,"{'max_features': 2, 'max_depth': 32}",0.9161,0.9221,0.8984
11,S2,0.7758,0.7792,0.8789,"{'max_features': 6, 'max_depth': 47}",0.7719,0.7662,0.8711
12,S20,0.9883,0.9805,0.9922,"{'max_features': 4, 'max_depth': 30}",0.9922,0.9870,0.9922
13,S21,0.9980,1.0000,1.0000,"{'max_features': 1, 'max_depth': 49}",0.9980,1.0000,1.0000
14,S22,0.9824,0.9675,0.9922,"{'max_features': 2, 'max_depth': 47}",0.9843,0.9675,0.9922
15,S23,1.0000,1.0000,1.0000,"{'max_features': 7, 'max_depth': 29}",1.0000,1.0000,0.9961
16,S24,0.9883,1.0000,1.0000,"{'max_features': 2, 'max_depth': 28}",0.9883,1.0000,1.0000
17,S25,0.9804,0.9805,0.9961,"{'max_features': 6, 'max_depth': 22}",0.9804,0.9740,0.9961
18,S26,0.9785,0.9870,1.0000,"{'max_features': 2, 'max_depth': 40}",0.9765,0.9740,1.0000
19,S27,0.9902,0.9675,0.9883,"{'max_features': 8, 'max_depth': 17}",0.9902,0.9740,0.9961
20,S28,1.0000,1.0000,1.0000,"{'max_features': 4, 'max_depth': 39}",1.0000,1.0000,1.0000
21,S29,0.9220,0.9091,0.9805,"{'max_features': 1, 'max_depth': 44}",0.9201,0.9221,0.9727
22,S3,1.0000,1.0000,1.0000,"{'max_features': 4, 'max_depth': 28}",1.0000,1.0000,1.0000
23,S30,0.9648,0.9351,0.9883,"{'max_features': 1, 'max_depth': 25}",0.9706,0.9351,0.9922
24,S4,0.9883,0.9935,0.9961,"{'max_features': 3, 'max_depth': 49}",0.9922,0.9870,0.9961
25,S5,0.9922,1.0000,1.0000,"{'max_features': 2, 'max_depth': 17}",0.9863,0.9935,1.0000
26,S6,0.9922,0.9545,0.9883,"{'max_features': 1, 'max_depth': 32}",0.9903,0.9870,0.9883
27,S7,0.9883,0.9935,0.9922,"{'max_features': 2, 'max_depth': 50}",0.9883,1.0000,0.9883
28,S8,0.9804,0.9870,0.9922,"{'max_features': 2, 'max_depth': 20}",0.9804,0.9935,0.9922
29,S9,0.9727,0.9481,0.9570,"{'max_features': 4, 'max_depth': 19}",0.9727,0.9351,0.9531
