,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,0.9746,0.9805,0.9883,"{'max_features': 1, 'max_depth': 11}",0.9785,0.9805,0.9883
1,S10,0.9883,1.0000,1.0000,"{'max_features': 1, 'max_depth': 16}",0.9883,0.9935,1.0000
2,S11,0.9628,0.9675,0.9766,"{'max_features': 1, 'max_depth': 12}",0.9687,0.9805,0.9766
3,S12,0.9315,0.9221,0.9688,"{'max_features': 7, 'max_depth': 16}",0.9374,0.9286,0.9688
4,S13,0.8963,0.8701,0.9492,"{'max_features': 1, 'max_depth': 12}",0.8827,0.8766,0.9375
5,S14,0.9551,0.9740,0.9883,"{'max_features': 1, 'max_depth': 13}",0.9454,0.9416,0.9883
6,S15,0.9082,0.9221,0.9414,"{'max_features': 5, 'max_depth': 9}",0.9023,0.9026,0.9375
7,S16,0.9922,0.9870,0.9922,"{'max_features': 4, 'max_depth': 10}",0.9922,0.9870,0.9922
8,S17,0.9941,0.9870,0.9883,"{'max_features': 2, 'max_depth': 10}",0.9941,0.9870,0.9883
9,S18,1.0000,1.0000,1.0000,"{'max_features': 2, 'max_depth': 16}",0.9961,1.0000,1.0000
10,S19,0.7383,0.7273,0.6992,"{'max_features': 4, 'max_depth': 14}",0.7363,0.7662,0.6875
11,S2,0.7327,0.7143,0.8945,"{'max_features': 3, 'max_depth': 13}",0.7386,0.7338,0.8984
12,S20,0.9608,0.9610,0.9922,"{'max_features': 2, 'max_depth': 15}",0.9589,0.9610,0.9922
13,S21,1.0000,1.0000,0.9961,"{'max_features': 2, 'max_depth': 17}",0.9980,1.0000,1.0000
14,S22,0.9491,0.9675,0.9766,"{'max_features': 1, 'max_depth': 17}",0.9530,0.9610,0.9727
15,S23,0.9863,0.9870,0.9883,"{'max_features': 1, 'max_depth': 11}",0.9883,0.9805,0.9883
16,S24,0.9276,0.9221,0.9609,"{'max_features': 1, 'max_depth': 17}",0.9198,0.9351,0.9688
17,S25,0.9295,0.9416,0.9492,"{'max_features': 8, 'max_depth': 9}",0.9315,0.9351,0.9492
18,S26,0.9668,0.9870,1.0000,"{'max_features': 1, 'max_depth': 11}",0.9707,0.9935,1.0000
19,S27,0.9804,1.0000,1.0000,"{'max_features': 3, 'max_depth': 14}",0.9843,0.9935,1.0000
20,S28,0.9961,1.0000,1.0000,"{'max_features': 2, 'max_depth': 9}",0.9961,1.0000,1.0000
21,S29,0.7462,0.7532,0.8242,"{'max_features': 7, 'max_depth': 19}",0.7560,0.7403,0.8125
22,S3,1.0000,1.0000,1.0000,"{'max_features': 1, 'max_depth': 14}",1.0000,1.0000,1.0000
23,S30,0.8672,0.9091,0.8555,"{'max_features': 2, 'max_depth': 10}",0.8887,0.8766,0.8516
24,S4,0.8770,0.9026,0.9531,"{'max_features': 1, 'max_depth': 17}",0.8751,0.9156,0.9531
25,S5,0.9863,0.9870,1.0000,"{'max_features': 1, 'max_depth': 20}",0.9922,1.0000,1.0000
26,S6,0.9766,0.9610,0.9727,"{'max_features': 2, 'max_depth': 9}",0.9766,0.9545,0.9688
27,S7,0.9785,0.9740,0.9688,"{'max_features': 4, 'max_depth': 12}",0.9746,0.9740,0.9492
28,S8,0.8573,0.8896,0.8477,"{'max_features': 4, 'max_depth': 12}",0.8574,0.8766,0.8594
29,S9,0.9491,0.9545,0.9531,"{'max_features': 3, 'max_depth': 16}",0.9452,0.9805,0.9609
