,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,0.9863,0.9805,0.9883,"{'max_features': 1, 'max_depth': 9}",0.9941,0.9805,1.0000
1,S10,0.9785,0.9675,0.9609,"{'max_features': 6, 'max_depth': 13}",0.9746,0.9675,0.9570
2,S11,0.9843,0.9935,0.9961,"{'max_features': 6, 'max_depth': 13}",0.9824,0.9740,0.9961
3,S12,0.9687,0.9870,0.9844,"{'max_features': 4, 'max_depth': 20}",0.9746,0.9935,0.9883
4,S13,0.9452,0.9740,0.9883,"{'max_features': 1, 'max_depth': 15}",0.9393,0.9545,0.9883
5,S14,0.9550,0.9740,0.9609,"{'max_features': 1, 'max_depth': 16}",0.9609,0.9545,0.9688
6,S15,0.9451,0.9351,0.9727,"{'max_features': 3, 'max_depth': 19}",0.9530,0.9416,0.9766
7,S16,0.9980,1.0000,1.0000,"{'max_features': 1, 'max_depth': 10}",0.9961,1.0000,1.0000
8,S17,0.9922,1.0000,1.0000,"{'max_features': 2, 'max_depth': 17}",0.9961,1.0000,1.0000
9,S18,1.0000,1.0000,1.0000,"{'max_features': 5, 'max_depth': 5}",1.0000,1.0000,1.0000
10,S19,0.8615,0.8896,0.8359,"{'max_features': 4, 'max_depth': 9}",0.8478,0.9091,0.8594
11,S2,0.7776,0.8117,0.8359,"{'max_features': 5, 'max_depth': 12}",0.7736,0.7987,0.8164
12,S20,0.9844,0.9935,0.9805,"{'max_features': 4, 'max_depth': 15}",0.9864,0.9935,0.9766
13,S21,0.9942,0.9805,0.9922,"{'max_features': 1, 'max_depth': 6}",0.9961,0.9740,0.9883
14,S22,0.9843,0.9935,0.9961,"{'max_features': 6, 'max_depth': 14}",0.9883,0.9935,0.9961
15,S23,0.9980,1.0000,0.9883,"{'max_features': 3, 'max_depth': 20}",0.9980,1.0000,0.9922
16,S24,0.9804,0.9805,0.9961,"{'max_features': 3, 'max_depth': 8}",0.9844,0.9870,1.0000
17,S25,0.9629,0.9935,1.0000,"{'max_features': 2, 'max_depth': 18}",0.9570,0.9935,0.9961
18,S26,0.9804,0.9740,1.0000,"{'max_features': 2, 'max_depth': 14}",0.9785,0.9740,1.0000
19,S27,0.9961,0.9935,1.0000,"{'max_features': 1, 'max_depth': 12}",0.9980,0.9935,1.0000
20,S28,1.0000,1.0000,1.0000,"{'max_features': 7, 'max_depth': 15}",1.0000,1.0000,1.0000
21,S29,0.9298,0.9481,0.9375,"{'max_features': 3, 'max_depth': 13}",0.9239,0.9351,0.9336
22,S3,0.9961,0.9935,1.0000,"{'max_features': 2, 'max_depth': 5}",0.9981,1.0000,1.0000
23,S30,0.9511,0.9156,0.9883,"{'max_features': 3, 'max_depth': 16}",0.9531,0.9221,0.9844
24,S4,0.9688,0.9416,0.9648,"{'max_features': 2, 'max_depth': 19}",0.9688,0.9545,0.9609
25,S5,0.9882,0.9935,1.0000,"{'max_features': 4, 'max_depth': 17}",0.9902,0.9935,1.0000
26,S6,0.9648,0.9481,0.9688,"{'max_features': 8, 'max_depth': 11}",0.9610,0.9416,0.9727
27,S7,0.9765,0.9610,0.9688,"{'max_features': 5, 'max_depth': 16}",0.9726,0.9545,0.9570
28,S8,0.8905,0.8896,0.8789,"{'max_features': 5, 'max_depth': 18}",0.8768,0.8766,0.8867
29,S9,0.9785,0.9805,0.9844,"{'max_features': 2, 'max_depth': 17}",0.9863,0.9870,0.9766
