,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,std_acc,acc_sem_cross_optuna,pod_optuna
0,S1,0.9941,1.0000,1.0000,"{'max_features': 3, 'max_depth': 5}",0.9922,0.0157,1.0000,1.0000
1,S10,0.9980,1.0000,1.0000,"{'max_features': 4, 'max_depth': 25}",0.9980,0.0039,1.0000,1.0000
2,S11,0.9902,0.9805,1.0000,"{'max_features': 1, 'max_depth': 47}",0.9961,0.0048,0.9935,1.0000
3,S12,0.9902,0.9805,0.9961,"{'max_features': 1, 'max_depth': 10}",0.9883,0.0144,0.9935,1.0000
4,S13,0.9609,0.9675,0.9922,"{'max_features': 3, 'max_depth': 37}",0.9628,0.0266,0.9545,0.9883
5,S14,0.9922,1.0000,1.0000,"{'max_features': 4, 'max_depth': 10}",0.9922,0.0073,1.0000,1.0000
6,S15,0.9844,1.0000,0.9961,"{'max_features': 4, 'max_depth': 44}",0.9883,0.0143,0.9935,0.9961
7,S16,1.0000,1.0000,1.0000,"{'max_features': 2, 'max_depth': 13}",1.0000,0.0000,1.0000,1.0000
8,S17,0.9980,1.0000,0.9961,"{'max_features': 1, 'max_depth': 28}",0.9980,0.0039,1.0000,1.0000
9,S18,1.0000,1.0000,1.0000,"{'max_features': 22, 'max_depth': 16}",1.0000,0.0000,1.0000,1.0000
10,S19,0.9551,0.9805,0.9805,"{'max_features': 3, 'max_depth': 34}",0.9610,0.0123,0.9740,0.9766
11,S2,0.8889,0.8701,0.9727,"{'max_features': 4, 'max_depth': 31}",0.8831,0.0602,0.8636,0.9688
12,S20,1.0000,1.0000,1.0000,"{'max_features': 26, 'max_depth': 48}",1.0000,0.0000,1.0000,1.0000
13,S21,0.9980,1.0000,1.0000,"{'max_features': 4, 'max_depth': 7}",1.0000,0.0000,0.9935,0.9961
14,S22,0.9980,1.0000,1.0000,"{'max_features': 2, 'max_depth': 21}",0.9961,0.0048,1.0000,1.0000
15,S23,0.9961,1.0000,1.0000,"{'max_features': 2, 'max_depth': 13}",0.9981,0.0039,1.0000,1.0000
16,S24,0.9961,1.0000,1.0000,"{'max_features': 4, 'max_depth': 21}",0.9980,0.0039,1.0000,1.0000
17,S25,0.9824,0.9935,0.9961,"{'max_features': 8, 'max_depth': 38}",0.9785,0.0209,0.9870,0.9961
18,S26,1.0000,1.0000,1.0000,"{'max_features': 13, 'max_depth': 23}",1.0000,0.0000,1.0000,1.0000
19,S27,1.0000,0.9870,0.9922,"{'max_features': 5, 'max_depth': 45}",1.0000,0.0000,0.9935,0.9922
20,S28,1.0000,1.0000,1.0000,"{'max_features': 16, 'max_depth': 17}",1.0000,0.0000,1.0000,0.9961
21,S29,0.9493,0.9416,0.9727,"{'max_features': 2, 'max_depth': 22}",0.9453,0.0131,0.9156,0.9727
22,S3,1.0000,1.0000,1.0000,"{'max_features': 21, 'max_depth': 46}",1.0000,0.0000,0.9870,1.0000
23,S30,0.9980,0.9935,0.9922,"{'max_features': 6, 'max_depth': 29}",0.9980,0.0039,0.9935,0.9961
24,S4,0.9941,1.0000,1.0000,"{'max_features': 1, 'max_depth': 43}",1.0000,0.0000,1.0000,1.0000
25,S5,1.0000,1.0000,1.0000,"{'max_features': 6, 'max_depth': 12}",1.0000,0.0000,1.0000,1.0000
26,S6,0.9922,0.9935,0.9961,"{'max_features': 1, 'max_depth': 26}",0.9961,0.0078,0.9935,0.9961
27,S7,0.9882,0.9935,0.9961,"{'max_features': 5, 'max_depth': 15}",0.9882,0.0144,0.9935,0.9961
28,S8,0.9902,0.9935,0.9961,"{'max_features': 2, 'max_depth': 41}",0.9882,0.0144,0.9935,0.9961
29,S9,0.9980,1.0000,0.9961,"{'max_features': 5, 'max_depth': 14}",0.9980,0.0039,1.0000,0.9922
