,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,0.4182,0.7013,0.6953,"{'max_features': 6, 'max_depth': 1}",0.4944,0.6364,0.8125
1,S10,0.3635,0.6429,0.5352,"{'max_features': 6, 'max_depth': 36}",0.3908,0.6623,0.5234
2,S11,0.3399,0.6169,0.4688,"{'max_features': 1, 'max_depth': 1}",0.3889,0.5325,0.5352
3,S12,0.3848,0.6623,0.4648,"{'max_features': 3, 'max_depth': 45}",0.3907,0.6753,0.4375
4,S13,0.4458,0.7143,0.4180,"{'max_features': 5, 'max_depth': 2}",0.4751,0.6299,0.1836
5,S14,0.5337,0.7338,0.2188,"{'max_features': 6, 'max_depth': 1}",0.6783,0.7403,0.1992
6,S15,0.3690,0.6429,0.5625,"{'max_features': 6, 'max_depth': 34}",0.3769,0.6364,0.5352
7,S16,0.5001,0.7597,0.4336,"{'max_features': 6, 'max_depth': 1}",0.6311,0.7013,0.7109
8,S17,0.5470,0.8117,0.8867,"{'max_features': 7, 'max_depth': 1}",0.7769,0.7792,0.8594
9,S18,0.6522,0.8442,0.8750,"{'max_features': 3, 'max_depth': 1}",0.8298,0.8247,0.8555
10,S19,0.3808,0.5844,0.6875,"{'max_features': 6, 'max_depth': 26}",0.3906,0.5649,0.6953
11,S2,0.3808,0.6039,0.6367,"{'max_features': 2, 'max_depth': 1}",0.4903,0.5714,0.7070
12,S20,0.3573,0.6753,0.5234,"{'max_features': 6, 'max_depth': 1}",0.4082,0.5909,0.6680
13,S21,0.4219,0.7468,0.6562,"{'max_features': 5, 'max_depth': 1}",0.5258,0.6494,0.7617
14,S22,0.5490,0.7532,0.6875,"{'max_features': 6, 'max_depth': 3}",0.6038,0.7013,0.5586
15,S23,0.4549,0.7338,0.6758,"{'max_features': 6, 'max_depth': 16}",0.4882,0.7597,0.6562
16,S24,0.5425,0.7468,0.8242,"{'max_features': 3, 'max_depth': 1}",0.7456,0.7727,0.8086
17,S25,0.3378,0.6234,0.7227,"{'max_features': 3, 'max_depth': 1}",0.4257,0.5714,0.8711
18,S26,0.3888,0.6948,0.4219,"{'max_features': 3, 'max_depth': 2}",0.4300,0.6364,0.3477
19,S27,0.3673,0.6234,0.7812,"{'max_features': 6, 'max_depth': 1}",0.6723,0.6688,0.8633
20,S28,0.5819,0.8442,0.7773,"{'max_features': 4, 'max_depth': 4}",0.6249,0.8442,0.8242
21,S29,0.4653,0.7013,0.7266,"{'max_features': 5, 'max_depth': 1}",0.6898,0.6623,0.7539
22,S3,0.3049,0.5649,0.5977,"{'max_features': 3, 'max_depth': 32}",0.3146,0.5844,0.6094
23,S30,0.4823,0.7597,0.6719,"{'max_features': 7, 'max_depth': 1}",0.6019,0.7727,0.7578
24,S4,0.6483,0.8766,0.8242,"{'max_features': 4, 'max_depth': 1}",0.8473,0.8571,0.9297
25,S5,0.5766,0.7987,0.5156,"{'max_features': 5, 'max_depth': 1}",0.6355,0.6883,0.7773
26,S6,0.3767,0.5909,0.6836,"{'max_features': 6, 'max_depth': 1}",0.5316,0.5844,0.6602
27,S7,0.6391,0.8766,0.1680,"{'max_features': 3, 'max_depth': 1}",0.6958,0.7857,0.1367
28,S8,0.3866,0.6883,0.4219,"{'max_features': 7, 'max_depth': 2}",0.4670,0.6818,0.4688
29,S9,0.3085,0.6039,0.6445,"{'max_features': 2, 'max_depth': 1}",0.4023,0.6169,0.8164
