,Sensor,acc_cross,acc_sem,pod,param,acc_com_cross_optuna,acc_sem_cross_optuna,pod_optuna
0,S1,0.3575,0.6623,0.7031,"{'max_features': 6, 'max_depth': 1}",0.5177,0.6299,0.8516
1,S10,0.3362,0.5974,0.5664,"{'max_features': 2, 'max_depth': 1}",0.4359,0.5519,0.7891
2,S11,0.3478,0.6364,0.4414,"{'max_features': 1, 'max_depth': 34}",0.3498,0.6299,0.4648
3,S12,0.3987,0.6494,0.3555,"{'max_features': 7, 'max_depth': 3}",0.4165,0.6104,0.1094
4,S13,0.4009,0.6948,0.5000,"{'max_features': 6, 'max_depth': 26}",0.4263,0.7208,0.5234
5,S14,0.4594,0.7273,0.1758,"{'max_features': 7, 'max_depth': 1}",0.5883,0.6883,0.2070
6,S15,0.4083,0.6753,0.6367,"{'max_features': 6, 'max_depth': 16}",0.4200,0.6948,0.6055
7,S16,0.4748,0.7338,0.4336,"{'max_features': 4, 'max_depth': 1}",0.5548,0.6169,0.7773
8,S17,0.5682,0.7403,0.8438,"{'max_features': 6, 'max_depth': 1}",0.7907,0.7273,0.8047
9,S18,0.7459,0.8182,0.8594,"{'max_features': 4, 'max_depth': 1}",0.8434,0.8117,0.8867
10,S19,0.3807,0.6883,0.6211,"{'max_features': 7, 'max_depth': 35}",0.4003,0.6558,0.6484
11,S2,0.3691,0.6623,0.6875,"{'max_features': 7, 'max_depth': 1}",0.4707,0.6429,0.8086
12,S20,0.3474,0.6948,0.6133,"{'max_features': 3, 'max_depth': 1}",0.4315,0.5974,0.7305
13,S21,0.4258,0.6948,0.6211,"{'max_features': 6, 'max_depth': 1}",0.4863,0.6364,0.8008
14,S22,0.5373,0.7922,0.6875,"{'max_features': 7, 'max_depth': 1}",0.5569,0.6688,0.8398
15,S23,0.4433,0.6948,0.6641,"{'max_features': 7, 'max_depth': 24}",0.4843,0.7273,0.6328
16,S24,0.5487,0.7597,0.8203,"{'max_features': 6, 'max_depth': 1}",0.7476,0.7273,0.7812
17,S25,0.3982,0.6039,0.7070,"{'max_features': 6, 'max_depth': 1}",0.4159,0.6039,0.8516
18,S26,0.3967,0.7208,0.4062,"{'max_features': 2, 'max_depth': 27}",0.3968,0.7208,0.3789
19,S27,0.3889,0.6558,0.8359,"{'max_features': 7, 'max_depth': 1}",0.6762,0.6558,0.9297
20,S28,0.5876,0.8182,0.8008,"{'max_features': 7, 'max_depth': 3}",0.7887,0.8117,0.8203
21,S29,0.4281,0.6234,0.7812,"{'max_features': 6, 'max_depth': 1}",0.6840,0.6364,0.8320
22,S3,0.3264,0.5000,0.6367,"{'max_features': 1, 'max_depth': 21}",0.3342,0.4935,0.6367
23,S30,0.4512,0.7338,0.7617,"{'max_features': 5, 'max_depth': 1}",0.6931,0.6623,0.8125
24,S4,0.6482,0.8571,0.7773,"{'max_features': 6, 'max_depth': 1}",0.8414,0.8247,0.8984
25,S5,0.5611,0.8182,0.5273,"{'max_features': 4, 'max_depth': 1}",0.6528,0.7013,0.8008
26,S6,0.3884,0.6039,0.8203,"{'max_features': 7, 'max_depth': 2}",0.5176,0.6299,0.8633
27,S7,0.6627,0.8182,0.2227,"{'max_features': 6, 'max_depth': 1}",0.7625,0.7987,0.0781
28,S8,0.4101,0.6623,0.4922,"{'max_features': 6, 'max_depth': 5}",0.4475,0.6558,0.4297
29,S9,0.3417,0.5455,0.6523,"{'max_features': 5, 'max_depth': 2}",0.4064,0.6169,0.7578
